u,v,weights
0,1313,(4457;1)
0,1314,(4831;1)
1,149,(21123;1)
1,1313,(22789;1)
2,680,(365;1)
2,681,(312;1)
3,575,(2746;1)
3,1252,(1028;1)
4,1009,(13008;1)
4,1247,(976;1)
5,6,(81428;1)
5,72,(8723;1)
5,1701,(51254;1)
6,5,(81428;1)
6,189,(16278;1)
7,151,(26046;1)
7,205,(16494;1)
7,239,(29851;1)
8,392,(6141;1)
8,1179,(7513;1)
9,213,(27997;1)
9,466,(82996;1)
10,329,(11009;1)
10,531,(33892;1)
11,336,(13895;1)
11,527,(32778;1)
11,556,(16451;1)
12,465,(4787;1)
12,1396,(2061;1)
12,1467,(5476;1)
13,159,(38040;1)
13,1490,(45087;1)
14,22,(7899;1)
14,1525,(4896;1)
14,1526,(4062;1)
14,1797,(2818;1)
15,16,(17768;1)
15,177,(26980;1)
15,1443,(3299;1)
16,15,(17768;1)
16,17,(33477;1)
16,1442,(2432;1)
16,1474,(4811;1)
17,16,(33477;1)
17,1394,(10274;1)
17,1451,(3181;1)
17,1472,(2219;1)
18,19,(64700;1)
18,172,(35013;1)
18,197,(2127;1)
19,18,(64700;1)
19,20,(22511;1)
19,59,(5737;1)
20,19,(22511;1)
20,158,(56998;1)
20,199,(6295;1)
21,194,(41693;1)
21,1715,(2818;1)
21,1733,(3748;1)
22,14,(7899;1)
22,743,(7961;1)
22,1310,(8781;1)
22,1670,(6620;1)
23,24,(22479;1)
23,1310,(36722;1)
24,23,(22479;1)
24,194,(6109;1)
24,1514,(3500;1)
25,714,(1010;1)
25,765,(1081;1)
26,221,(16059;1)
26,222,(2003;1)
26,469,(1722;1)
26,736,(1735;1)
27,839,(12880;1)
27,1715,(2623;1)
27,1716,(4012;1)
27,1750,(3350;1)
28,476,(10830;1)
28,770,(6703;1)
29,30,(42716;1)
29,1796,(25791;1)
30,29,(42716;1)
30,866,(50535;1)
31,32,(21779;1)
31,1154,(78537;1)
32,31,(21779;1)
32,33,(6078;1)
33,32,(6078;1)
33,1156,(2506;1)
34,35,(24699;1)
34,1156,(16574;1)
35,34,(24699;1)
35,1528,(24415;1)
36,348,(7758;1)
36,398,(21847;1)
36,877,(15749;1)
37,346,(20492;1)
37,874,(3678;1)
38,1015,(4524;1)
38,1152,(11777;1)
38,1435,(3448;1)
39,1362,(3320;1)
39,1363,(2263;1)
39,1426,(9513;1)
39,1427,(12008;1)
40,1180,(11449;1)
40,1331,(4567;1)
40,1360,(2968;1)
40,1399,(4347;1)
41,408,(9194;1)
41,1330,(6171;1)
42,118,(37215;1)
42,354,(8585;1)
43,44,(11746;1)
43,204,(24002;1)
44,43,(11746;1)
44,477,(3201;1)
44,763,(3466;1)
45,797,(49502;1)
45,1140,(23332;1)
46,1141,(19712;1)
46,1658,(31234;1)
47,1139,(9570;1)
47,1591,(3171;1)
47,1658,(7208;1)
48,174,(35853;1)
48,1702,(40161;1)
49,1165,(4308;1)
49,1697,(3618;1)
49,1699,(4949;1)
49,1705,(3512;1)
