node_id,categories
0,3
7,0;3
9,4
18,3
19,3;4
20,4
23,3
28,4
36,2
59,0;3;4
60,3
80,2
87,2
92,3;4
93,0;3;4
96,4
98,2
99,2
101,4
113,4
118,2;4
119,2
127,4
144,2
148,4
151,0;3
152,0;3
157,4
172,3
182,4
186,0;4
190,4
193,3
197,3
198,0;3
199,4
200,4
205,3
207,3
208,4
209,4
210,3
229,4
233,2
240,4
241,4
246,4
255,2
258,2
311,2
320,2
334,4
341,4
348,2
358,4
367,4
369,0
371,0
376,0
378,4
385,2
422,2
436,0
449,4
468,3
474,4
523,4
526,0
532,3
534,4
541,3;4
573,4
585,0;3
626,0
630,3
659,0
682,4
695,0
704,4
712,4
722,3
729,2
733,2
736,4
740,4
769,0
774,2
775,2
782,2
806,2
830,2
841,4
854,1
856,2
858,2
875,2
877,2
906,3
910,2
911,2
912,2
914,2
920,2
923,2
924,2
930,2
1001,2
1003,2
1013,2
1029,0;3
1072,4
1097,2
1099,2
1132,2
1134,2
1148,4
1149,1
1150,4
1184,3
1219,3
1224,2
1282,0;3
1303,4
1304,3
1314,4
1390,0
1405,4
1414,4
1424,4
1446,4
1447,4
1458,4
1459,0
1464,4
1496,0;1
1497,0
1500,3
1506,4
1515,4
1521,4
1527,3
1539,3
1540,3
1541,3
1542,4
1543,4
1544,0
1548,4
1613,4
1657,4
1675,4
1676,0;3
1677,0
1678,0;4
1679,3
1683,4
1685,4
1688,0
1689,0;4
1702,1
1713,3
1719,3
1723,3
1725,3
1728,0
1730,4
1738,4
1739,4
1748,4
1749,4
1769,0
1777,2
1778,4
1780,3
1784,2
1788,2
1789,2
1790,2
1793,2
1804,0
